country_iso3,theater_id,exposure_weight,exposure_type,effective_from,effective_to,rationale,source_url,retrieved_at
TWN,taiwan_strait,1.00,production,2026-06-01,,Semiconductor keystone theater,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
CHN,taiwan_strait,0.95,military,2026-06-01,,Primary Taiwan Strait strategic actor,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
USA,taiwan_strait,0.90,military,2026-06-01,,Security and export-control actor,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
KOR,taiwan_strait,0.80,production,2026-06-01,,HBM and memory exposure,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
JPN,taiwan_strait,0.70,production,2026-06-01,,Semiconductor materials and equipment exposure,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
NLD,taiwan_strait,0.75,production,2026-06-01,,EUV and tooling exposure,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
IRN,middle_east,1.00,sanctions,2026-06-01,,Sanctioned procurement escalation node,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
ISR,middle_east,0.85,military,2026-06-01,,Dual-use AI defense node,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
ARE,middle_east,0.70,finance,2026-06-01,,Finance compute and re-export corridor,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
RUS,arctic,0.95,arctic_access,2026-06-01,,Arctic military energy and route actor,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
CAN,arctic,0.80,arctic_access,2026-06-01,,Arctic route and infrastructure actor,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
USA,arctic,0.75,arctic_access,2026-06-01,,Arctic military infrastructure actor,12_early_warning/wetd_theater_scenarios.md,2026-06-25T00:00:00Z
