year,demand_score,capacity_score,finance_score,fundamental_score,base_value,upside_value,downside_value,current_implied_value,divergence_pct,signal
2026,0.513096,0.170109,0.593302,0.170109,17.011,29.215,4.807,19.784,0.163050,neutral
2027,0.558742,0.200927,0.587468,0.200927,21.600,35.448,7.752,24.747,0.145710,neutral
2028,0.611996,0.239449,0.581633,0.239449,27.537,43.325,11.748,31.125,0.130313,neutral
2029,0.665250,0.277972,0.578716,0.277972,34.052,51.908,16.195,38.110,0.119174,neutral
2030,0.718504,0.316494,0.572882,0.316494,41.144,61.196,21.093,45.702,0.110765,neutral
2031,0.771758,0.355017,0.569965,0.355017,48.815,71.189,26.441,53.900,0.104169,neutral
2032,0.817405,0.401244,0.567047,0.401244,58.180,83.249,33.111,63.878,0.097934,neutral
2033,0.863051,0.447471,0.564130,0.447471,68.239,90.052,40.323,74.584,0.092977,neutral
2034,0.901090,0.493698,0.561213,0.493698,78.992,94.051,48.075,86.018,0.088948,neutral
2035,0.939011,0.539925,0.558296,0.539925,90.437,98.010,56.368,91.267,0.009171,neutral
